# generation,lower_bound,upper_bound,mean,stdev
1,3472,3602,3544.00000,33.15117
2,3472,3602,3544.00000,33.15117
3,3472,3573,3530.00000,29.54657
4,3472,3559,3523.00000,26.47640
5,3472,3559,3520.00000,24.93993
6,3472,3559,3516.00000,23.36664
7,3466,3529,3500.00000,20.54264
8,3442,3529,3493.00000,27.34959
9,3442,3516,3483.00000,25.92296
10,3442,3513,3476.00000,22.73763
11,3421,3513,3468.00000,24.37212
12,3421,3497,3465.00000,21.74856
13,3421,3497,3463.00000,21.37756
14,3409,3497,3452.00000,26.64583
15,3409,3497,3449.00000,26.57066
16,3409,3486,3445.00000,25.49510
17,3398,3486,3437.00000,29.74895
18,3385,3486,3435.00000,32.64966
19,3385,3482,3434.00000,31.96873
20,3385,3482,3433.00000,31.82766
21,3385,3474,3431.00000,29.35984
22,3385,3463,3426.00000,25.80698
23,3385,3457,3421.00000,21.02380
24,3385,3442,3413.00000,17.52142
25,3385,3442,3410.00000,18.05547
26,3385,3442,3410.00000,18.05547
27,3385,3442,3410.00000,18.05547
28,3385,3442,3410.00000,18.05547
29,3384,3442,3409.00000,17.94436
30,3384,3442,3409.00000,17.94436
31,3384,3442,3408.00000,17.52142
32,3367,3442,3403.00000,20.63977
33,3367,3442,3403.00000,20.71232
34,3362,3442,3400.00000,23.87467
35,3341,3442,3394.00000,30.16621
36,3341,3442,3390.00000,28.54820
37,3341,3442,3390.00000,28.65310
38,3341,3442,3390.00000,28.65310
39,3315,3442,3382.00000,37.18871
40,3315,3432,3381.00000,35.51056
41,3315,3432,3373.00000,32.35738
42,3315,3432,3372.00000,31.33688
43,3315,3432,3369.00000,33.52611
44,3311,3432,3369.00000,34.26368
45,3311,3432,3369.00000,34.26368
46,3311,3432,3369.00000,34.26368
47,3311,3432,3369.00000,34.26368
48,3311,3432,3364.00000,34.17601
49,3311,3432,3364.00000,34.17601
50,3311,3432,3364.00000,34.17601
51,3311,3432,3362.00000,36.11094
52,3311,3432,3362.00000,36.11094
53,3311,3432,3362.00000,36.11094
54,3311,3432,3362.00000,36.11094
55,3311,3432,3362.00000,36.68787
56,3311,3405,3359.00000,31.59114
57,3311,3405,3356.00000,31.73326
58,3311,3405,3356.00000,31.73326
59,3311,3405,3356.00000,31.73326
60,3309,3405,3356.00000,32.06244
61,3309,3405,3356.00000,32.06244
62,3309,3405,3356.00000,32.06244
63,3284,3405,3352.00000,35.73514
64,3284,3405,3352.00000,35.73514
65,3284,3405,3351.00000,35.69314
66,3284,3396,3350.00000,34.26368
67,3284,3396,3349.00000,35.24202
68,3284,3394,3348.00000,34.40930
69,3284,3394,3348.00000,34.40930
70,3284,3394,3348.00000,34.40930
71,3284,3394,3348.00000,34.14674
72,3284,3394,3348.00000,34.14674
73,3284,3394,3347.00000,34.05877
74,3284,3394,3347.00000,34.05877
75,3284,3394,3347.00000,34.05877
76,3284,3394,3347.00000,34.05877
77,3284,3394,3339.00000,31.60696
78,3284,3394,3338.00000,31.51190
79,3284,3394,3338.00000,31.51190
80,3284,3394,3338.00000,31.51190
81,3284,3394,3338.00000,31.51190
82,3284,3394,3338.00000,31.51190
83,3262,3394,3336.00000,36.19392
84,3262,3394,3333.00000,34.43835
85,3262,3394,3333.00000,34.43835
86,3262,3394,3333.00000,34.43835
87,3262,3394,3332.00000,34.43835
88,3262,3394,3332.00000,34.43835
89,3262,3394,3332.00000,34.13210
90,3262,3394,3330.00000,35.63706
91,3262,3394,3329.00000,36.51027
92,3262,3394,3328.00000,36.71512
93,3262,3394,3328.00000,36.71512
94,3262,3394,3327.00000,37.20215
95,3262,3394,3327.00000,37.20215
96,3262,3394,3327.00000,37.20215
97,3262,3394,3327.00000,37.20215
98,3262,3394,3327.00000,37.20215
99,3262,3394,3327.00000,37.20215
100,3262,3394,3327.00000,37.28270
101,3262,3394,3327.00000,37.28270
102,3262,3394,3327.00000,37.28270
103,3262,3394,3326.00000,37.05401
104,3262,3394,3326.00000,37.05401
105,3262,3394,3324.00000,37.77565
106,3262,3394,3322.00000,40.41039
107,3262,3394,3322.00000,40.41039
108,3262,3394,3322.00000,40.41039
109,3262,3394,3322.00000,40.41039
110,3248,3394,3317.00000,46.45428
111,3248,3394,3315.00000,47.07441
112,3247,3394,3315.00000,47.23346
113,3247,3394,3314.00000,46.50806
114,3247,3394,3314.00000,46.50806
115,3247,3394,3313.00000,47.16991
116,3247,3394,3313.00000,46.85083
117,3247,3394,3313.00000,46.85083
118,3247,3394,3313.00000,46.85083
119,3247,3394,3313.00000,46.85083
120,3247,3394,3313.00000,46.85083
121,3247,3394,3313.00000,46.85083
122,3247,3365,3310.00000,41.94043
123,3247,3365,3306.00000,42.96510
124,3247,3365,3304.00000,41.97618
125,3247,3365,3300.00000,39.76179
126,3247,3356,3297.00000,38.49675
127,3247,3356,3297.00000,38.49675
128,3247,3356,3297.00000,38.49675
129,3247,3356,3297.00000,38.49675
130,3247,3356,3297.00000,38.49675
131,3247,3356,3297.00000,38.49675
132,3244,3356,3297.00000,38.94868
133,3244,3356,3297.00000,38.94868
134,3244,3356,3297.00000,38.94868
135,3244,3356,3297.00000,38.94868
136,3244,3356,3296.00000,37.44329
137,3244,3356,3296.00000,37.44329
138,3244,3356,3296.00000,37.44329
139,3244,3356,3296.00000,37.44329
140,3244,3356,3296.00000,37.44329
141,3244,3356,3296.00000,37.32292
142,3244,3356,3296.00000,37.32292
143,3244,3356,3295.00000,37.08099
144,3244,3356,3294.00000,37.32292
145,3244,3356,3294.00000,37.32292
146,3244,3356,3294.00000,37.32292
147,3244,3356,3294.00000,37.32292
148,3244,3356,3294.00000,37.32292
149,3230,3356,3293.00000,39.63584
150,3230,3356,3293.00000,39.63584
151,3230,3356,3293.00000,39.63584
152,3230,3356,3291.00000,41.86884
153,3230,3356,3291.00000,41.86884
154,3230,3356,3291.00000,41.86884
155,3230,3356,3291.00000,41.86884
156,3230,3356,3291.00000,41.86884
157,3230,3356,3291.00000,41.86884
158,3230,3356,3290.00000,42.21374
159,3230,3356,3290.00000,42.21374
160,3230,3356,3290.00000,42.21374
161,3230,3356,3290.00000,42.21374
162,3230,3356,3290.00000,42.21374
163,3230,3356,3288.00000,40.38564
164,3230,3356,3288.00000,40.38564
165,3230,3356,3288.00000,40.38564
166,3230,3356,3288.00000,40.38564
167,3230,3356,3288.00000,40.48456
168,3230,3356,3288.00000,40.48456
169,3230,3356,3288.00000,40.48456
170,3230,3356,3287.00000,40.26164
171,3230,3356,3287.00000,40.26164
172,3230,3356,3286.00000,40.50926
173,3230,3356,3286.00000,40.50926
174,3230,3356,3286.00000,40.50926
175,3230,3356,3286.00000,40.50926
176,3230,3356,3286.00000,40.50926
177,3230,3356,3286.00000,40.50926
178,3230,3356,3286.00000,40.50926
179,3230,3356,3286.00000,40.50926
180,3230,3356,3286.00000,40.50926
181,3230,3356,3286.00000,40.50926
182,3230,3356,3286.00000,40.50926
183,3230,3356,3286.00000,40.50926
184,3230,3356,3285.00000,41.46082
185,3230,3356,3285.00000,41.46082
186,3230,3356,3285.00000,41.46082
187,3230,3356,3285.00000,41.46082
188,3230,3356,3283.00000,41.41256
189,3230,3356,3283.00000,41.41256
190,3230,3356,3283.00000,41.41256
191,3230,3356,3283.00000,41.41256
192,3230,3356,3283.00000,41.41256
193,3230,3356,3283.00000,41.41256
194,3230,3356,3283.00000,41.41256
195,3230,3356,3283.00000,41.41256
196,3230,3356,3283.00000,41.14608
197,3230,3356,3282.00000,40.59557
198,3230,3356,3282.00000,40.59557
199,3230,3356,3282.00000,40.39802
200,3230,3356,3279.00000,39.59798
201,3230,3356,3279.00000,39.59798
202,3230,3356,3279.00000,39.59798
203,3230,3356,3279.00000,39.59798
204,3230,3356,3279.00000,39.59798
205,3230,3356,3279.00000,39.59798
206,3230,3356,3279.00000,39.59798
207,3230,3356,3279.00000,39.59798
208,3230,3356,3279.00000,39.59798
209,3230,3356,3279.00000,39.59798
210,3230,3356,3279.00000,39.59798
211,3230,3356,3279.00000,39.59798
212,3223,3356,3278.00000,40.60788
213,3221,3356,3278.00000,40.91455
214,3221,3356,3277.00000,41.10961
215,3221,3356,3276.00000,40.66940
216,3220,3356,3276.00000,40.81666
217,3220,3355,3276.00000,40.58325
218,3215,3355,3275.00000,41.37632
219,3215,3355,3275.00000,41.37632
220,3215,3355,3275.00000,41.37632
221,3215,3355,3269.00000,43.87482
222,3215,3355,3269.00000,43.87482
223,3215,3355,3269.00000,43.87482
224,3215,3355,3269.00000,43.87482
225,3215,3355,3269.00000,43.87482
226,3215,3355,3269.00000,43.87482
227,3215,3335,3267.00000,39.83717
228,3215,3335,3267.00000,39.83717
229,3215,3335,3267.00000,39.83717
230,3215,3335,3267.00000,39.83717
231,3215,3335,3267.00000,39.83717
232,3215,3335,3267.00000,39.83717
233,3215,3335,3267.00000,39.83717
234,3215,3335,3267.00000,39.83717
235,3215,3335,3267.00000,39.83717
236,3215,3335,3267.00000,39.83717
237,3215,3335,3267.00000,39.83717
238,3215,3335,3267.00000,39.83717
239,3215,3335,3267.00000,39.83717
240,3215,3335,3267.00000,39.83717
241,3215,3335,3267.00000,39.83717
242,3215,3335,3267.00000,39.48417
243,3215,3335,3267.00000,39.48417
244,3215,3335,3267.00000,39.48417
245,3215,3335,3267.00000,39.48417
246,3215,3335,3267.00000,39.48417
247,3215,3335,3267.00000,39.48417
248,3215,3335,3267.00000,39.48417
249,3215,3335,3267.00000,39.48417
250,3215,3335,3267.00000,39.48417
